0	30
0	37
0	40
0	91
1	19
2	25
3	7
3	12
3	18
3	19
3	34
3	43
3	59
3	97
4	19
5	19
5	75
6	78
7	27
7	43
8	19
9	27
10	0
11	7
12	18
12	22
13	19
14	19
14	34
14	59
15	22
16	7
17	19
17	34
17	59
18	99
19	8
20	19
21	19
22	94
23	22
24	7
24	12
24	78
25	0
25	21
25	42
25	50
25	64
25	74
25	93
25	102
25	104
26	19
26	27
26	100
27	19
28	19
29	19
29	27
30	22
31	7
32	12
32	21
33	7
34	12
35	78
36	7
37	78
38	7
39	19
39	34
39	59
40	17
40	19
41	19
41	78
42	19
43	0
43	3
43	6
43	19
43	22
43	29
43	33
43	34
43	58
43	59
43	64
43	73
43	78
43	84
44	20
44	100
45	12
46	0
47	17
47	70
48	27
49	0
49	5
49	7
49	9
49	80
49	84
49	96
50	0
50	7
50	19
50	67
50	78
50	84
50	93
51	19
51	22
51	50
51	64
52	0
52	19
52	22
52	42
52	78
52	79
52	92
53	0
53	1
53	2
53	4
53	6
53	7
53	10
53	11
53	13
53	14
53	15
53	16
53	18
53	19
53	23
53	24
53	25
53	26
53	28
53	31
53	32
53	33
53	35
53	36
53	38
53	39
53	41
53	42
53	44
53	45
53	46
53	47
53	48
53	49
53	50
53	51
53	52
53	53
53	54
53	55
53	56
53	57
53	58
53	60
53	61
53	62
53	63
53	64
53	65
53	66
53	67
53	68
53	69
53	70
53	71
53	72
53	74
53	75
53	76
53	77
53	78
53	81
53	82
53	83
53	85
53	86
53	87
53	88
53	89
53	90
53	93
53	95
53	96
53	97
53	98
53	99
53	100
53	101
53	103
53	104
